scraping_time,website_id,main_website_url,product_link,product_title,old_price,new_price,price,brand,product_code,images
2020-12-16 23:43:48.746638,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/gynaikeia-papoutsia/mpotakia/tiah,Μποτάκια Primadonna Tiah,100.0,60.0,,Primadonna,Z8201.00061.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/38/IMG_8400.png
2020-12-16 23:43:48.775644,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/gynaikeia-papoutsia/mpotakia/tanea,Μποτάκια Primadonna Tanea,110.0,66.0,,Primadonna,Z8201.02828.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/38/IMG_8477.png
2020-12-16 23:43:49.270644,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/lagor,Μποτάκια Guy Laroche Lagor,139.0,111.0,,Guy Laroche,V3662.G8271NOS.K,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/34/IMG_8984_1.png
2020-12-16 23:43:50.038636,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/lerot,Μποτάκια Guy Laroche Lerot,,,159.0,Guy Laroche,AB3522.G4636.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_4643.png
2020-12-16 23:43:50.273637,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/quartz-hi,Μποτάκια Caterpillar Quartz Hi,,,119.0,Caterpillar,AB4642.QUARTZHI.N,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_5182.png
2020-12-16 23:43:50.371638,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/lukavice,Μποτάκια GK Uomo Lukavice,,,89.0,GK Uomo,AB7492.038717114.K,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_8012.png
2020-12-16 23:43:50.550640,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/cloy,Μποτάκια Caterpillar Cloy,,,99.0,Caterpillar,AB4642.CLOY.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_8381.png
2020-12-16 23:43:50.825181,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/lyster,Μποτάκια Guy Laroche Lyster,139.0,111.0,,Guy Laroche,V3662.G8271NOS.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/34/IMG_0003_1.png
2020-12-16 23:43:51.415643,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/locri,Μποτάκια GK Uomo Locri,,,89.0,GK Uomo,AB7882.55117822.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_4441.png
2020-12-16 23:43:51.469661,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/aksesouar/andrikes-kaltses/harbel,Κάλτσες Walk Harbel,,,4.9,Walk,V4788.W3043.P,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/34/w304-3_02.png
