scraping_time,website_id,main_website_url,product_link,product_title,old_price,new_price,price,brand,product_code,images
2020-12-16 22:46:49.922446,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-papoutsia-casual-b043cc-mple-derma-kastori-geox-el,Παιδικά Παπούτσια Casual B043CC Μπλε Δέρμα Καστόρι Geox,53.0,42.0,,Geox,B043CC-Blue,https://www.mortoglou.gr/image/cache/products-new/images/2020-Winter/109-Geox/109-B043CC~13-02-24_1-800x1100w.jpg
2020-12-16 22:46:52.957555,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-papoutsia-casual-174382-ladi-ecosuede-el,Παιδικά Παπούτσια Casual 174382 Λαδί ECOsuede Diadora,39.0,33.0,,Diadora,174382-Olive,https://www.mortoglou.gr/image/cache/products-new/images/2020-Winter/393-Diadora/393-174382~25-09-24_1-800x1100w.jpg
2020-12-16 22:46:53.310113,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-mpotakia-j049ca-kokkino-ecoleather-geox-el,Παιδικά Μποτάκια J049CA Κόκκινο ECOleather Geox,63.0,53.0,,Geox,J049CA-Red,https://www.mortoglou.gr/image/cache/products-new/images/2020-Winter/109-Geox/109-J049CA~21-06-24_1-800x1100w.jpg
2020-12-16 22:46:53.608329,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-mpotakia-a24cj-mple-derma-noumpouk-timberland-el,Παιδικά Μποτάκια A24CJ Μπλε Δέρμα Νούμπουκ Timberland,95.0,80.0,,Timberland,A24CJ-Blue,https://www.mortoglou.gr/image/cache/products-new/images/2020-Winter/101-Timberland/101-A24CJ~13-10-24_1-800x1100w.jpg
2020-12-16 22:46:53.923033,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-papoutsia-casual-j048vc-roz-ecoleather-geox-el,Παιδικά Παπούτσια Casual J048VC Ροζ ECOleather Geox,69.0,55.0,,Geox,J048VC-Pink,https://www.mortoglou.gr/image/cache/products-new/images/2020-Winter/109-Geox/109-J048VC~27-06-24_1-800x1100w.jpg
2020-12-16 22:46:54.805429,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-mpotakia-midcut-shoe-mple-ecoleather-tommy-hilfiger-el,Παιδικά Μποτάκια Midcut.Shoe Μπλε ECOleather Tommy Hilfiger,77.9,62.0,,Tommy Hilfiger,Midcut.Shoe-Blue,https://www.mortoglou.gr/image/cache/products-new/images/2019-Winter/103-TommyHilfiger/103-Midcut.Shoe~13-06-22_1-800x1100w.jpg
2020-12-16 22:46:56.128224,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-papoutsia-casual-174383-ladi-ecosuede-el,Παιδικά Παπούτσια Casual 174383 Λαδί ECOsuede Diadora,35.0,31.0,,Diadora,174383-Olive,https://www.mortoglou.gr/image/cache/products-new/images/2020-Winter/393-Diadora/393-174383~25-09-24_1-800x1100w.jpg
2020-12-16 22:46:57.065146,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-papoutsia-casual-sydney-combi-multi-panino-pepe-jeans-el,Παιδικά Παπούτσια Casual Sydney.Combi Multi Πάνινο Pepe Jeans,59.0,47.0,,Pepe Jeans,Sydney.Combi-Multi,https://www.mortoglou.gr/image/cache/products-new/images/2020-Winter/107-PepeJeans/107-Sydney.Combi~43-03-24_1-800x1100w.jpg
2020-12-16 22:46:57.142159,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-papoutsia-casual-80153-roz-derma-camper-el,Παιδικά Παπούτσια Casual 80153 Ροζ Δέρμα Camper,65.0,45.0,,Camper,80153-Pink,https://www.mortoglou.gr/image/cache/products-new/images/2019-Winter/106-Camper/106-80153~27-01-22_1-800x1100w.jpg
2020-12-16 22:46:59.469455,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/gunaikeia-mpotakia-28880-mauro-derma-kastori-pedro-miralles-el,Γυναικεία Μποτάκια 28880 Μαύρο Δέρμα Καστόρι Pedro Miralles,159.0,109.0,,Pedro Miralles,28880-Black,https://www.mortoglou.gr/image/cache/products-new/images/2020-Winter/153-PedroMiralles/153-28880~11-02-24_1-800x1100w.jpg
2020-12-16 22:47:00.628444,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-papoutsia-casual-laceup486-mple-ecoleather-tommy-hilfiger-el,Παιδικά Παπούτσια Casual Laceup486 Μπλε ECOleather Tommy Hilfiger,77.9,62.0,,Tommy Hilfiger,Laceup486-Blue,https://www.mortoglou.gr/image/cache/products-new/images/2019-Winter/103-TommyHilfiger/103-Laceup486~13-06-22_1-800x1100w.jpg
2020-12-16 22:47:01.664132,252,https://www.mortoglou.gr/,https://www.mortoglou.gr/paidika-mpotakia-736530-tampa-derma-kickers-el,Παιδικά Μποτάκια 736530 Ταμπά Δέρμα Kickers,75.0,52.0,,Kickers,736530-Tabba,https://www.mortoglou.gr/image/cache/products-new/images/2019-Winter/113-Kickers/113-736530~12-01-22_1-800x1100w.jpg
