scraping_time,website_id,main_website_url,product_link,product_title,old_price,new_price,price,brand,product_code,images
2020-12-17 23:54:39.582321,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/sneakers/low-cut/bitter-_-sweet-15214-4-03_p-2680644.aspx?Org=2680639,Bitter & Sweet 15214-4-03,46.0,23.0,23.0,Bitter & Sweet,Bitter & Sweet 15214-4-03,https://www.myshoe.gr/Images/Products/Normal/2680000/2680644.jpg
2020-12-17 23:54:40.701846,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/sneakers/low-cut/bitter-_-sweet-15214-4-01_p-2680637.aspx?Org=2680631,Bitter & Sweet 15214-4-01,46.0,23.0,23.0,Bitter & Sweet,Bitter & Sweet 15214-4-01,https://www.myshoe.gr/Images/Products/Normal/2680000/2680637.jpg
2020-12-17 23:54:41.056848,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/athlhtika/running/bitter-_-sweet-11741-4_p-2200765.aspx?Org=2200748,Bitter & Sweet 11741-4,36.0,14.4,14.4,Bitter & Sweet,Bitter & Sweet 11741-4,https://www.myshoe.gr/Images/Products/Normal/2200000/2200765.jpg
2020-12-17 23:54:42.230371,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/brogues-_-loafers/xoris-kordoni/bitter-_-sweet-13013-4_p-880585.aspx?Org=880584,Bitter & Sweet 13013-4,41.9,15.0,15.0,Bitter & Sweet,Bitter & Sweet 13013-4,https://www.myshoe.gr/Images/Products/Normal/880000/880585.jpg
2020-12-17 23:54:45.562197,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/brogues-_-loafers/me-kordoni/pepe-jeans-pms10169_p-2554277.aspx?Org=2554278,Pepe Jeans PMS10169,126.0,50.4,50.4,Pepe Jeans,Pepe Jeans PMS10169,https://www.myshoe.gr/Images/Products/Normal/2550000/2554277.jpg
2020-12-17 23:54:49.854537,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/mpotakia/bitter-_-sweet-16137-4_p-2365409.aspx?Org=2365403,Bitter & Sweet 16137-4,59.9,29.4,29.4,Bitter & Sweet,Bitter & Sweet 16137-4,https://www.myshoe.gr/Images/Products/Normal/2360000/2365409.jpg
2020-12-17 23:54:49.972536,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/sneakers/low-cut/bitter-_-sweet-11893-4-10-_p-2671191.aspx?Org=2671192,Bitter & Sweet 11893-4-10.,45.9,23.0,23.0,Bitter & Sweet,Bitter & Sweet 11893-4-10.,https://www.myshoe.gr/Images/Products/Normal/2670000/2671191.jpg
2020-12-17 23:54:50.155533,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/brogues-_-loafers/me-kordoni/bitter-_-sweet-15205-4-01_p-2672366.aspx?Org=2672360,Bitter & Sweet 15205-4-01,49.9,25.0,25.0,Bitter & Sweet,Bitter & Sweet 15205-4-01,https://www.myshoe.gr/Images/Products/Normal/2670000/2672366.jpg
2020-12-17 23:54:53.342909,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/athlhtika/running/bitter-_-sweet-11741-4_p-2200759.aspx?Org=2200748,Bitter & Sweet 11741-4,36.0,14.4,14.4,Bitter & Sweet,Bitter & Sweet 11741-4,https://www.myshoe.gr/Images/Products/Normal/2200000/2200759.jpg
2020-12-17 23:55:04.432805,246,https://www.myshoe.gr/,https://www.myshoe.gr/andrika/athlhtika/running/bitter-_-sweet-11741-4_p-2200747.aspx?Org=2200748,Bitter & Sweet 11741-4,36.0,14.4,14.4,Bitter & Sweet,Bitter & Sweet 11741-4,https://www.myshoe.gr/Images/Products/Normal/2200000/2200747.jpg
